productname,productvendor,productversion
Microsoft Sql Server 2008 R2 Native Client,Microsoft,10.x
Microsoft Sql Server Compact 4.0  Enu,Microsoft,4.x
Tools For Microsoft Sql Server,Microsoft,17.x
Sqlserver Monitoring Option,Oracle,9.x
Mysql Connector C++,Oracle,8.x
Mysql Connector/Odbc,Oracle,8.x
Mysql Router,Oracle,8.x
Mysql Server,Oracle,8.x
Mysql Shell,Oracle,8.x
Mysql Workbench 8 Community Edition,Oracle,8.x
Mysql Shell,Oracle,1.x
Mysql Connector J,Oracle,8.x
Mysql Connector Net,Oracle,8.x
Mysql Workbench 5.2 Ce,Oracle,5.x
Mysql Connector/Odbc 5.2  (Community Edition),Oracle,5.x
Mysql Utilities,Oracle,1.x
Mysql Workbench 6.0 Ce,Oracle,6.x
Mysql Connector C++,Oracle,1.x
Mysql Connector J,Oracle,5.x
Mysql Connector/C,Oracle,6.x
Mysql Examples And Samples,Oracle,5.x
Mysql Notifier,Oracle,1.x
Mysql For Visual Studio,Oracle,1.x
Mysql Workbench 6.2 Ce,Oracle,6.x
Mysql Workbench,Oracle,6.x
Mysql Documents,Oracle,5.x
Mysql Server,Oracle,5.x
Oracle.Mysqlconn (Tl),Oracle,5.x
Mysql Workbench 6.3 Ce,Oracle,6.x
Mysql Connector Net,Oracle,6.x
Mysql Connector/Odbc,Oracle,5.x
Mysql-Community-Client,Oracle,5.x
Mysql-Community-Common,Oracle,5.x
Mysql-Community-Devel,Oracle,5.x
Mysql-Community-Embedded,Oracle,5.x
Mysql-Community-Embedded-Devel,Oracle,5.x
Mysql-Community-Libs,Oracle,5.x
Mysql-Community-Libs-Compat,Oracle,5.x
Mysql-Community-Server,Oracle,5.x
Mysql Client 5 Community,Oracle,5.x
Mysql Community Libs,Oracle,5.x
Mysql Server 5 Community,Oracle,5.x
Mysql Connector Python For Python,Oracle,8.x
Mysql Python Interface 1 Os,Freeware,1.x
Mariadb-Libs,"Red Hat, Inc.",5.x
Mysql-Client,Oracle,5.x
Mysql-Devel,Oracle,5.x
Mysql-Server,Oracle,5.x
Mysql-Shared-Compat,Oracle,5.x
Php53-Mysql,"Red Hat, Inc.",5.x
Myodbc,"Red Hat, Inc.",2.x
Mysqlclient,"Red Hat, Inc.",3.x
Mysql Client 5 Os,MySQL AB,5.x
Mysql Server 5 Os,MySQL AB,5.x
Php-Mysql 5 Os,PHP Group,5.x
Rh-Php70-Php-Mysqlnd,"Red Hat, Inc.",7.x
Perl-Dbd-Mysql 4 Os,Freeware,4.x
Oracle Mysql Connector,Oracle,11.x
Mysql Server 4 Os,MySQL AB,4.x
Mysql-Libs 5 Os,Oracle,5.x
Mysql,The MySQL Group,5.x
Mysql - Mysql Database Management System (Root Component),"Sun Microsystems, Inc.",11.x
Mysql - Mysql Database Management System (Test Component),"Sun Microsystems, Inc.",11.x
Mysql - Mysql Database Management System (Usr Component),"Sun Microsystems, Inc.",11.x
Mysql-Libs,"Red Hat, Inc.",5.x
Db2 Udb 9 Express,IBM,9.x
Ibm Db2 Express Edition - Db2Copy,IBM,9.x
Ses.Db.Db2390.En,Oracle,15.x
Ses.Db.Db2390.En,Oracle,8.x
Ses.Db.Db2390.Sia,Oracle,15.x
Ses.Db.Db2390.Sia,Oracle,8.x
Ses.Db.Db2390.Sia.En,Oracle,15.x
Ses.Db.Db2390.Sia.En,Oracle,8.x
Ses.Db.Db2Udb,Oracle,15.x
Ses.Db.Db2Udb,Oracle,8.x
Ses.Db.Db2Udb.En,Oracle,15.x
Ses.Db.Db2Udb.En,Oracle,8.x
Ses.Db.Db2Udb.Sia,Oracle,15.x
Ses.Db.Db2Udb.Sia,Oracle,8.x
Ses.Db.Db2Udb.Sia.En,Oracle,15.x
Ses.Db.Db2Udb.Sia.En,Oracle,8.x
Db2 Run-Time Client,IBM,8.x
Db2 Connect Server - Trial,IBM,9.x
Db2 Data Server Client,IBM,9.x
Db2 Runtime Client,IBM,9.x
Ibm Data Server Runtime Client - Db2Copy,IBM,9.x
Db2 Server Edition - Db2Copy,IBM,10.x
Ibm Data Server Runtime Client - Db2Copy,IBM,10.x
Ibm Data Server Client - Db2Copy,IBM,9.x
Db2 Udb 10 Wkg Srv,IBM,10.x
Db2 Udb 10 Ent Srv Oem Limited Use,IBM,10.x
Db2 Udb 9 Ent Srv,IBM,9.x
Sybase Powerbuilder 11.5 Standard Runtime,Sybase Inc,11.x
Sql Server Migration Assistant For Sybase Extension Pack,Microsoft,5.x
Sybase Software Asset Management License Server And Utilities,"Sybase, Inc.",2.x
Sybase Infomaker,Sybase,12.x
Postgresql,PostgreSQL Global Development Group,10.x
Devart Dotconnect For Postgresql Professional,Devart,7.x
Vmware Postgres,"VMware, Inc.",9.x
Postgresql,PostgreSQL Global Development Group,9.x
Postgresql84-Libs,CentOS,8.x
Postgresql-Odbc,"Red Hat, Inc.",08.x
Rh-Php70-Php-Pgsql,"Red Hat, Inc.",7.x
Postgresql 8.1.3 Client Programs And Libraries,"Sun Microsystems, Inc.",11.x
Postgresql 8.1.3 Development Header Files And Libraries,"Sun Microsystems, Inc.",11.x
The Data Directories Needed To Create And Run A Postgresql 8.1.3 Server,"Sun Microsystems, Inc.",11.x
The Programs Needed To Create And Run A Postgresql 8.1.3 Server,"Sun Microsystems, Inc.",11.x
The Shared Libraries Required For Any Postgresql 8.1.3 Clients,"Sun Microsystems, Inc.",11.x
Postgresql-Contrib 8 Os,PostgreSQL Global Development Group,8.x
Postgresql 8.1.4 Client Programs And Libraries,"Sun Microsystems, Inc.",11.x
Postgresql 8.1.4 Development Header Files And Libraries,"Sun Microsystems, Inc.",11.x
The Data Directories Needed To Create And Run A Postgresql 8.1.4 Server,"Sun Microsystems, Inc.",11.x
The Programs Needed To Create And Run A Postgresql 8.1.4 Server,"Sun Microsystems, Inc.",11.x
The Shared Libraries Required For Any Postgresql 8.1.4 Clients,"Sun Microsystems, Inc.",11.x
Postgresql 8.1.11 Client Programs And Libraries,"Sun Microsystems, Inc.",11.x
Postgresql 8.1.11 Development Header Files And Libraries,"Sun Microsystems, Inc.",11.x
The Data Directories Needed To Create And Run A Postgresql 8.1.11 Server,"Sun Microsystems, Inc.",11.x
The Programs Needed To Create And Run A Postgresql 8.1.11 Server,"Sun Microsystems, Inc.",11.x
The Shared Libraries Required For Any Postgresql 8.1.11 Clients,"Sun Microsystems, Inc.",11.x
Postgresql,PostgreSQL Global Development Group,8.x
Postgresql-Libs,"Red Hat, Inc.",8.x
Japanese Localization For Postgresql,"Sun Microsystems, Inc.",11.x
"Postgresql Additional Perl, Python & Tcl Server Procedural Languages",Oracle,11.x
Postgresql Client Libraries,Oracle,11.x
Postgresql Client Tools,Oracle,11.x
Postgresql Community Contributed Tools Not Part Of Core Product,Oracle,11.x
Postgresql Database Server,Oracle,11.x
Postgresql Database Server Data Directories And Root Components,Oracle,11.x
Postgresql Development Tools And Header Files,Oracle,11.x
Postgresql Documentation And Man Pages,Oracle,11.x
The Dbi Postgresql Interface For Perl,Oracle,11.x
Tools To Upgrade From Older Postgresql Versions,Oracle,11.x
Pgadminiii Administration And Development Gui For Postgresql,Oracle,11.x
Postgresql,PostgreSQL Global Development Group,11.x
Postgresql 8 Os,PostgreSQL Global Development Group,8.x
Pgadminiii Administration And Development Gui For Postgresql 11 Os,Oracle,11.x
Postgresql-Contrib 11 Os,PostgreSQL Global Development Group,11.x
Postgresql-Libs 11 Os,PostgreSQL Global Development Group,11.x
Postgresql-Pl 11 Os,PostgreSQL Global Development Group,11.x
Postgresql-Server 11 Os,PostgreSQL Global Development Group,11.x
Postgresql-Server 8 Os,PostgreSQL Global Development Group,8.x
Postgresql-Tcl 1 Os,PostgreSQL Global Development Group,1.x
Postgresql 8.1.19 Client Programs And Libraries,"Sun Microsystems, Inc.",11.x
Postgresql 8.1.19 Development Header Files And Libraries,"Sun Microsystems, Inc.",11.x
The Data Directories Needed To Create And Run A Postgresql 8.1.19 Server,"Sun Microsystems, Inc.",11.x
The Programs Needed To Create And Run A Postgresql 8.1.19 Server,"Sun Microsystems, Inc.",11.x
The Shared Libraries Required For Any Postgresql 8.1.19 Clients,"Sun Microsystems, Inc.",11.x
A Tcl Client Library For Postgresql,"Sun Microsystems, Inc.",11.x
Contributed Source And Binaries Distributed With Postgresql,"Sun Microsystems, Inc.",11.x
Extra Documentation For Postgresql,"Sun Microsystems, Inc.",11.x
Files Needed For Java Programs To Access A Postgresql Database,"Sun Microsystems, Inc.",11.x
Postgresql 8.1.10 Client Programs And Libraries,"Sun Microsystems, Inc.",11.x
Postgresql 8.1.10 Development Header Files And Libraries,"Sun Microsystems, Inc.",11.x
"Postgresql 8.2 Additional Perl, Python & Tcl Server Procedural Languages","Sun Microsystems, Inc.",11.x
Postgresql 8.2 Client Libraries,"Sun Microsystems, Inc.",11.x
Postgresql 8.2 Client Tools,"Sun Microsystems, Inc.",11.x
Postgresql 8.2 Community Contributed Tools Not Part Of Core Product,"Sun Microsystems, Inc.",11.x
Postgresql 8.2 Database Server,"Sun Microsystems, Inc.",11.x
Postgresql 8.2 Database Server Data Directories And Root Components,"Sun Microsystems, Inc.",11.x
Postgresql 8.2 Development Tools And Header Files,"Sun Microsystems, Inc.",11.x
Postgresql 8.2 Documentation And Man Pages,"Sun Microsystems, Inc.",11.x
Tcl Binding Library For Postgresql,"Sun Microsystems, Inc.",11.x
The Pl Procedural Languages For Postgresql,"Sun Microsystems, Inc.",11.x
The Data Directories Needed To Create And Run A Postgresql 8.1.10 Server,"Sun Microsystems, Inc.",11.x
The Programs Needed To Create And Run A Postgresql 8.1.10 Server,"Sun Microsystems, Inc.",11.x
The Shared Libraries Required For Any Postgresql 8.1.10 Clients,"Sun Microsystems, Inc.",11.x
Robomongo,Paralect,0.x
Mongodb,MongoDB,2.x
Mongodb 2.6.6 2008R2Plus (64 Bit),MongoDB,2.x
Ibm Informix Client Sdk 4.10.Fc,IBM,4.x
Hp Operations Manager Spi For Informix Database,Hewlett-Packard,12.x
Ibm Sterling Connect Direct File Agent,IBM Corp.,1.x
Rabbitmq Server,"Pivotal Software, Inc.",3.x
Ibm Mq Client,IBM,9.x
Activemq,Apache Software Foundation,5.x
Ibm Mq For Solaris - U,IBM,9.x
Ibm Mq For Solaris,IBM,9.x
Tib-Rendezvous Software,Tibco,7.x
Tibco Hawk,Tibco,4.x
Tibco Rendezvous,Tibco,8.x
Tibco Tpcl,Tibco,5.x
Tibco Ems Gac Assembly Registration,Tibco,5.x
Tibco Ems Gac Assembly Registration,Tibco,6.x
Tibco Spotfire Automation Services,Tibco,4.x
Tibco Spotfire Server,Tibco,4.x
Tibco Spotfire Statistics Services 7.5 (Splus),Tibco,7.x
Tibco Spotfire,Tibco,6.x
Tibco Spotfire Analyst,Tibco,7.x
Tibco Spotfire Automation Services,Tibco,6.x
Tibco Spotfire Server,Tibco,6.x
Tibco Spotfire Server,Tibco,7.x
Tibco Spotfire Statistics Services 6.5 (Erserver),Tibco,6.x
Tibco Spotfire Statistics Services 6.5 (Splusserver),Tibco,6.x
Tibco Spotfire Statistics Services 7.5 (Terr),Tibco,7.x
Tibco Spotfire Node Manager,Tibco,7.x
Tibco Spotfire Web Player,Tibco,6.x
Tibco Spotfire Desktop,Tibco,7.x
Tibco Spotfire Statistics Services (S+ Server),Tibco,6.x
Tibco Rendezvous Gac Assembly Registration,Tibco,8.x
Tibco Nimbus Action Server,Tibco,Release 10.x
Tibco Nimbus Batch Server,Tibco,Release 10.x
Tibco Nimbus Enterprise Client,Tibco,Release 10.x
Tibco Nimbus Enterprise Server,Tibco,Release 10.x
Sun Java(Tm) System Message Queue Jaxm Client Runtime Package,"Sun Microsystems, Inc.",3.x
Sun Java(Tm) System Message Queue Jms/Soap Msg Transformer Runtime,"Sun Microsystems, Inc.",3.x
Sun One Message Queue /Usr Package,"Sun Microsystems, Inc.",3.x
Sun One Message Queue Client Runtime Package,"Sun Microsystems, Inc.",3.x
Sun One Message Queue Jaxm Client Runtime Package,"Sun Microsystems, Inc.",3.x
Sun One Message Queue Jms/Soap Msg Transformer Runtime,"Sun Microsystems, Inc.",3.x
Sun One Message Queue Jndi Fs Provider,"Sun Microsystems, Inc.",3.x
Sun One Message Queue Javadoc And Examples,"Sun Microsystems, Inc.",3.x
Sun One Message Queue Root Package,"Sun Microsystems, Inc.",3.x
Sun Java System Message Queue 3 Os,Oracle,3.x
Sun Java(Tm) System Message Queue /Usr Package,"Sun Microsystems, Inc.",3.x
Sun Java(Tm) System Message Queue Client Runtime,"Sun Microsystems, Inc.",3.x
Sun Java(Tm) System Message Queue Jaxm Client Runtime,"Sun Microsystems, Inc.",3.x
Sun Java(Tm) System Message Queue Jms/Soap Msg Transformer,"Sun Microsystems, Inc.",3.x
Sun Java(Tm) System Message Queue Jndi Fs Provider,"Sun Microsystems, Inc.",3.x
Sun Java(Tm) System Message Queue Javadoc And Examples,"Sun Microsystems, Inc.",3.x
Sun Java(Tm) System Message Queue Root Package,"Sun Microsystems, Inc.",3.x
Microsoft .Net Framework 2.0 Sdk - Enu,Microsoft,
Microsoft .Net Framework 2.0 Sdk - Enu,Microsoft,2.x
Clickonce Bootstrapper Package For Microsoft .Net Framework,Microsoft,4.x
Microsoft .Net Framework 4.8 Sdk,Microsoft,4.x
Microsoft .Net Framework 4.8 Targeting Pack (Enu),Microsoft,4.x
Microsoft .Net Framework 4.8 Targeting Pack,Microsoft,4.x
Microsoft .Net Framework Cumulative Intellisense Pack For Visual Studio (Enu),Microsoft,4.x
Microsoft .Net Framework 4.6.1 Developer Pack,Microsoft,4.x
Microsoft .Net Framework 4.6.1 Sdk,Microsoft,4.x
Microsoft .Net Framework 4.6.1 Targeting Pack (Enu),Microsoft,4.x
Microsoft .Net Framework 4.6.1 Targeting Pack,Microsoft,4.x
Microsoft .Net Framework 4.7 Developer Pack,Microsoft,4.x
Microsoft .Net Framework 4.7 Sdk,Microsoft,4.x
Microsoft .Net Framework 4.7 Targeting Pack (Enu),Microsoft,4.x
Microsoft .Net Framework 4.7 Targeting Pack,Microsoft,4.x
Microsoft .Net Framework 4.7.1 Developer Pack,Microsoft,4.x
Microsoft .Net Framework 4.7.1 Sdk,Microsoft,4.x
Microsoft .Net Framework 4.7.1 Targeting Pack (Enu),Microsoft,4.x
Microsoft .Net Framework 4.7.1 Targeting Pack,Microsoft,4.x
Clickonce Bootstrapper Package For Microsoft .Net Framework 4.7.2 On Visual Studio,Microsoft,4.x
Microsoft .Net Framework 4.6 Sdk,Microsoft,4.x
Microsoft .Net Framework 4.6 Targeting Pack (Enu),Microsoft,4.x
Microsoft .Net Framework 4.6 Targeting Pack,Microsoft,4.x
Microsoft .Net Framework 4.7.2 Developer Pack,Microsoft,4.x
Microsoft .Net Framework 4.7.2 Sdk,Microsoft,4.x
Microsoft .Net Framework 4.7.2 Targeting Pack (Enu),Microsoft,4.x
Microsoft .Net Framework 4.7.2 Targeting Pack,Microsoft,4.x
Microsoft .Net Framework 4.5.1 Rc Multi-Targeting Pack For Windows Store Apps (Enu),Microsoft,4.x
Microsoft .Net Framework 4.5.1 Rc Multi-Targeting Pack For Windows Store Apps,Microsoft,4.x
Microsoft .Net Framework 4.6.2 Developer Pack,Microsoft,4.x
Microsoft .Net Framework 4.6.2 Sdk,Microsoft,4.x
Microsoft .Net Framework 4.6.2 Targeting Pack (Enu),Microsoft,4.x
Microsoft .Net Framework 4.6.2 Targeting Pack,Microsoft,4.x
Microsoft .Net Framework 4 Client Profile,Microsoft,4.x
Microsoft .Net Framework 4 Extended,Microsoft,4.x
Microsoft .Net Framework 2.0 Sdk  - Enu,Microsoft,(64.x
Microsoft .Net Framework 2.0 Sdk  - Enu,Microsoft,2.x
Microsoft .Net Framework Targeting Pack,Microsoft,4.x
Microsoft .Net Framework Sdk,Microsoft,4.x
Microsoft .Net Framework 4.5 Sdk,Microsoft,4.x
Microsoft .Net Framework 4.5 Multi-Targeting Pack,Microsoft,4.x
Microsoft .Net Framework 4.5.1 Multi-Targeting Pack (Enu),Microsoft,4.x
Microsoft .Net Framework 4.5.1 Multi-Targeting Pack,Microsoft,4.x
Microsoft .Net Framework 4.5.1 Sdk,Microsoft,4.x
Microsoft .Net Framework 4.5.2 Multi-Targeting Pack (Enu),Microsoft,4.x
Microsoft .Net Framework 4.5.2 Multi-Targeting Pack,Microsoft,4.x
Microsoft .Net Framework Client Profile,Microsoft,4.x
Microsoft Chart Controls For Microsoft .Net Framework,Microsoft,3.x
Microsoft .Net Framework 4 Multi-Targeting Pack,Microsoft,4.x
Microsoft .Net Framework Multi-Targeting Pack,Microsoft,4.x
Microsoft .Net Framework,Microsoft,1.x
Microsoft .Net Framework,Microsoft,4.x
Tp.Sun.Jdk-1.6-Core-,SAP BusinessObjects,14.1.x
Complete Sun Jdk,Oracle,1.4.x
Openjdk,Oracle,12.0.x
Oracle.As.Customqna.Jdkqna (Tl),Oracle,12.2.x
Jrockit Jdk,Oracle,5.0.x
Java-1.6.0-Openjdk,"Red Hat, Inc.",1.6.x
Openjdk Runtime Environment,Freeware,1.7.x
Java-1.8.0-Openjdk,"Red Hat, Inc.",1.8.x
Java-1.8.0-Openjdk-Headless,"Red Hat, Inc.",1.8.x
Openjdk Runtime Environment,Freeware,1.8.x
Jrockit Jdk,Oracle,6_R28.2.x
Jdk 5.0 64-Bit Demo Programs (1.5.0_71),"Sun Microsystems, Inc.",1.5.x
Jdk 5.0 64-Bit Dev. Tools (1.5.0_71),"Sun Microsystems, Inc.",1.5.x
Jdk 5.0 64-Bit Runtime Env. (1.5.0_71),"Sun Microsystems, Inc.",1.5.x
Jdk 5.0 Demo Programs (1.5.0_71),"Sun Microsystems, Inc.",1.5.x
Jdk 5.0 Dev. Tools (1.5.0_71),"Sun Microsystems, Inc.",1.5.x
Jdk 5.0 Host Config. (1.5.0_71),"Sun Microsystems, Inc.",1.5.x
Jdk 5.0 Man Pages (1.5.0_71),"Sun Microsystems, Inc.",1.5.x
Jdk 5.0 Runtime Env. (1.5.0_71),"Sun Microsystems, Inc.",1.5.x
Jdk 5.0 64-Bit Demo Programs (1.5.0_06),"Sun Microsystems, Inc.",1.5.x
Jdk 5.0 64-Bit Dev. Tools (1.5.0_06),"Sun Microsystems, Inc.",1.5.x
Jdk 5.0 64-Bit Runtime Env. (1.5.0_06),"Sun Microsystems, Inc.",1.5.x
Jdk 5.0 Demo Programs (1.5.0_06),"Sun Microsystems, Inc.",1.5.x
Jdk 5.0 Dev. Tools (1.5.0_06),"Sun Microsystems, Inc.",1.5.x
Jdk 5.0 Host Config. (1.5.0_06),"Sun Microsystems, Inc.",1.5.x
Jdk 5.0 Man Pages (1.5.0_06),"Sun Microsystems, Inc.",1.5.x
Jdk 5.0 Runtime Env. (1.5.0_06),"Sun Microsystems, Inc.",1.5.x
Jdk 1.2 Development Tools,"Sun Microsystems, Inc.",1.2.x
Jdk 1.3 Demo Programs,"Sun Microsystems, Inc.",1.3.x
Jdk 1.3 Development Tools,"Sun Microsystems, Inc.",1.3.x
Jdk 1.3 Man Pages,"Sun Microsystems, Inc.",1.3.x
Jdk 1.3 Run Time Environment,"Sun Microsystems, Inc.",1.3.x
Jdk 6.0 64-Bit Demo Programs (1.6.0_201),"Sun Microsystems, Inc.",1.6.x
Jdk 6.0 64-Bit Dev. Tools (1.6.0_201),"Sun Microsystems, Inc.",1.6.x
Jdk 6.0 64-Bit Runtime Env. (1.6.0_201),"Sun Microsystems, Inc.",1.6.x
Jdk 6.0 Demo Programs (1.6.0_201),"Sun Microsystems, Inc.",1.6.x
Jdk 6.0 Dev. Tools (1.6.0_201),"Sun Microsystems, Inc.",1.6.x
Jdk 6.0 Host Config. (1.6.0_201),"Sun Microsystems, Inc.",1.6.x
Jdk 6.0 Man Pages (1.6.0_201),"Sun Microsystems, Inc.",1.6.x
Jdk 6.0 Man Pages: Japan (1.6.0_201),"Sun Microsystems, Inc.",1.6.x
Jdk 6.0 Runtime Env. (1.6.0_201),"Sun Microsystems, Inc.",1.6.x
Jdk 7.0 Man Pages: Japan (1.7.0_231),"Sun Microsystems, Inc.",1.7.x
Jdk 1.2 Demo Programs,"Sun Microsystems, Inc.",1.2.x
Jdk 1.2 Man Pages,"Sun Microsystems, Inc.",1.2.x
Jdk 1.2 Run Time Environment (French Supplement),"Sun Microsystems, Inc.",1.2.x
Jdk 1.2 Run Time Environment (Spanish Supplement),"Sun Microsystems, Inc.",1.2.x
Jdk 1.2 Run Time Environment,"Sun Microsystems, Inc.",1.2.x
Jdk 1.4 I18N Run Time Environment,"Sun Microsystems, Inc.",1.1.x
Sun Jdk,Oracle,1.3.x
Sun Jdk Extensions,Oracle,9.2.x
Jdk 5.0 64-Bit Demo Programs (1.5.0_07),"Sun Microsystems, Inc.",1.5.x
Jdk 5.0 64-Bit Dev. Tools (1.5.0_07),"Sun Microsystems, Inc.",1.5.x
Jdk 5.0 64-Bit Runtime Env. (1.5.0_07),"Sun Microsystems, Inc.",1.5.x
Jdk 5.0 Demo Programs (1.5.0_07),"Sun Microsystems, Inc.",1.5.x
Jdk 5.0 Host Config. (1.5.0_07),"Sun Microsystems, Inc.",1.5.x
Jdk 5.0 Man Pages (1.5.0_07),"Sun Microsystems, Inc.",1.5.x
Jdk 5.0 64-Bit Demo Programs (1.5.0_81),"Sun Microsystems, Inc.",1.5.x
Jdk 5.0 64-Bit Dev. Tools (1.5.0_81),"Sun Microsystems, Inc.",1.5.x
Jdk 5.0 64-Bit Runtime Env. (1.5.0_81),"Sun Microsystems, Inc.",1.5.x
Jdk 5.0 Demo Programs (1.5.0_81),"Sun Microsystems, Inc.",1.5.x
Jdk 5.0 Host Config. (1.5.0_81),"Sun Microsystems, Inc.",1.5.x
Jdk 5.0 Man Pages (1.5.0_81),"Sun Microsystems, Inc.",1.5.x
Jdk 5.0 64-Bit Demo Programs (1.5.0_17),"Sun Microsystems, Inc.",1.5.x
Jdk 5.0 64-Bit Dev. Tools (1.5.0_17),"Sun Microsystems, Inc.",1.5.x
Jdk 5.0 64-Bit Runtime Env. (1.5.0_17),"Sun Microsystems, Inc.",1.5.x
Jdk 5.0 Demo Programs (1.5.0_17),"Sun Microsystems, Inc.",1.5.x
Jdk 5.0 Host Config. (1.5.0_17),"Sun Microsystems, Inc.",1.5.x
Jdk 5.0 Man Pages (1.5.0_17),"Sun Microsystems, Inc.",1.5.x
Sun Jdk,Oracle,1.6.x
Jdk,Oracle,1.8.x
Jdk,Oracle,1.6.x
Copy-Jdk-Configs,"Red Hat, Inc.",3.3.x
Java-1.7.0-Openjdk,"Red Hat, Inc.",1.7.x
Java-1.7.0-Openjdk-Devel,"Red Hat, Inc.",1.7.x
Openjdk 7 Os,Freeware,1.7.x
Openjdk,Freeware,1.7.x
Jdk 6.0 Man Pages: Japan (1.6.0_211),"Sun Microsystems, Inc.",1.6.x
Jdk 5.0 Man Pages: Japan (1.5.0_85),"Sun Microsystems, Inc.",1.5.x
Jdk 6.0 64-Bit Demo Programs (1.6.0_181),"Sun Microsystems, Inc.",1.6.x
Jdk 6.0 64-Bit Dev. Tools (1.6.0_181),"Sun Microsystems, Inc.",1.6.x
Jdk 6.0 64-Bit Runtime Env. (1.6.0_181),"Sun Microsystems, Inc.",1.6.x
Jdk 6.0 Demo Programs (1.6.0_181),"Sun Microsystems, Inc.",1.6.x
Jdk 6.0 Dev. Tools (1.6.0_181),"Sun Microsystems, Inc.",1.6.x
Jdk 6.0 Host Config. (1.6.0_181),"Sun Microsystems, Inc.",1.6.x
Jdk 6.0 Man Pages (1.6.0_181),"Sun Microsystems, Inc.",1.6.x
Jdk 6.0 Man Pages: Japan (1.6.0_181),"Sun Microsystems, Inc.",1.6.x
Jdk 6.0 Runtime Env. (1.6.0_181),"Sun Microsystems, Inc.",1.6.x
Jdk 5.0 64-Bit Demo Programs (1.5.0_85),"Sun Microsystems, Inc.",1.5.x
Jdk 5.0 64-Bit Dev. Tools (1.5.0_85),"Sun Microsystems, Inc.",1.5.x
Jdk 5.0 64-Bit Runtime Env. (1.5.0_85),"Sun Microsystems, Inc.",1.5.x
Jdk 5.0 Demo Programs (1.5.0_85),"Sun Microsystems, Inc.",1.5.x
Jdk 5.0 Host Config. (1.5.0_85),"Sun Microsystems, Inc.",1.5.x
Jdk 5.0 Man Pages (1.5.0_85),"Sun Microsystems, Inc.",1.5.x
Jdk 6.0 64-Bit Demo Programs (1.6.0_211),"Sun Microsystems, Inc.",1.6.x
Jdk 6.0 64-Bit Dev. Tools (1.6.0_211),"Sun Microsystems, Inc.",1.6.x
Jdk 6.0 64-Bit Runtime Env. (1.6.0_211),"Sun Microsystems, Inc.",1.6.x
Jdk 6.0 Demo Programs (1.6.0_211),"Sun Microsystems, Inc.",1.6.x
Jdk 6.0 Dev. Tools (1.6.0_211),"Sun Microsystems, Inc.",1.6.x
Jdk 6.0 Host Config. (1.6.0_211),"Sun Microsystems, Inc.",1.6.x
Jdk 6.0 Man Pages (1.6.0_211),"Sun Microsystems, Inc.",1.6.x
Jdk 6.0 Runtime Env. (1.6.0_211),"Sun Microsystems, Inc.",1.6.x
Jdk 5.0 64-Bit Demo Programs (1.5.0_32),"Sun Microsystems, Inc.",1.5.x
Jdk 5.0 64-Bit Dev. Tools (1.5.0_32),"Sun Microsystems, Inc.",1.5.x
Jdk 5.0 64-Bit Runtime Env. (1.5.0_32),"Sun Microsystems, Inc.",1.5.x
Jdk 5.0 Demo Programs (1.5.0_32),"Sun Microsystems, Inc.",1.5.x
Jdk 5.0 Dev. Tools (1.5.0_32),"Sun Microsystems, Inc.",1.5.x
Jdk 5.0 Host Config. (1.5.0_32),"Sun Microsystems, Inc.",1.5.x
Jdk 5.0 Man Pages (1.5.0_32),"Sun Microsystems, Inc.",1.5.x
Jdk 6.0 64-Bit Demo Programs (1.6.0_31),"Sun Microsystems, Inc.",1.6.x
Jdk 6.0 64-Bit Dev. Tools (1.6.0_31),"Sun Microsystems, Inc.",1.6.x
Jdk 6.0 64-Bit Runtime Env. (1.6.0_31),"Sun Microsystems, Inc.",1.6.x
Jdk 1.4 I18N Run Time Environment,"Sun Microsystems, Inc.",1.2.x
Jdk 5.0 64-Bit Demo Programs (1.5.0_12),"Sun Microsystems, Inc.",1.5.x
Jdk 5.0 64-Bit Dev. Tools (1.5.0_12),"Sun Microsystems, Inc.",1.5.x
Jdk 5.0 64-Bit Runtime Env. (1.5.0_12),"Sun Microsystems, Inc.",1.5.x
Jdk 5.0 Demo Programs (1.5.0_12),"Sun Microsystems, Inc.",1.5.x
Jdk 5.0 Dev. Tools (1.5.0_85),"Sun Microsystems, Inc.",1.5.x
Jdk 5.0 Host Config. (1.5.0_12),"Sun Microsystems, Inc.",1.5.x
Jdk 5.0 Man Pages (1.5.0_12),"Sun Microsystems, Inc.",1.5.x
Sun Jdk,Oracle,1.4.x
Sun Jdk,Oracle,1.5.x
Sun Jdk 64 Bit,Oracle,1.4.x
Sun Jdk Extensions,Oracle,10.1.x
Jdk 5.0 Runtime Env. (1.5.0_32),"Sun Microsystems, Inc.",1.5.x
Jdk 5.0 Runtime Env. (1.5.0_81),"Sun Microsystems, Inc.",1.5.x
Jdk 5.0 Runtime Env. (1.5.0_85),"Sun Microsystems, Inc.",1.5.x
Shared.Tp.Aurora.Sap.Jvm-4.0-Core-,SAP BusinessObjects,14.2.x
Shared.Tp.Aurora.Sap.Jvm.Client-4.0-Core-,SAP BusinessObjects,14.2.x
Teamserver.Boe.Integration.Sap.Jvm-4.0-Core-,SAP BusinessObjects,1.31.x
Sap Jvm,SAP,6.0.x
Sap Jvm,SAP,7.0.x
Sap Jvm,SAP,8.0.x
Shared.Tp.Aurora.Sap.Jvm.Client-4.0-Core-,SAP BusinessObjects,14.1.x
Oracle Jvm,Oracle,9.2.x
